Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
-----------------------------------
  7   1    2     32
  7   1    3     48
  7   1    4     64
  7   1    5     80
  7   1    6     96
  7   1    7    112
  7   1    8    128
  7   1    9    144
  7   1   10    160
  7   1   11    176
  7   1   12    192
  7   1   13    208
  7   1   14    224
  7   1   15    240
  7   1   16    256
  7   1   17    272
  7   1   18    288
  7   1   19    304
  7   1   20    320
  7   1   21    336
  7   1   22    352
  7   1   23    368
  7   1   24    384
  7   1   25    400
  7   1   26    416
  7   1   27    432
  7   1   28    448
  7   1   29    464
  7   1   30    480
  7   1   31    496
  7   1   32    512
  7   1   33    528
  7   1   34    544
  7   1   35    560
  7   1   36    576
  7   1   37    592
  7   2    2     40
  7   2    3     66
  7   2    4     96
  7   2    5    130
  7   2    6    168
  7   2    7    210
  7   2    8    256
  7   2    9    306
  7   2   10    360
  7   2   11    418
  7   2   12    480
  7   2   13    546
  7   3    2     48
  7   3    3     84
  7   3    4    128
  7   3    5    180
  7   3    6    240
  7   3    7    308
  7   3    8    384
  7   3    9    468
  7   3   10    560
  7   4    2     56
  7   4    3    102
  7   4    4    160
  7   4    5    230
  7   4    6    312
  7   4    7    406
  7   4    8    512
  7   5    2     64
  7   5    3    120
  7   5    4    192
  7   5    5    280
  7   5    6    384
  7   5    7    504
  7   6    2     72
  7   6    3    138
  7   6    4    224
  7   6    5    330
  7   6    6    456
  7   7    2     80
  7   7    3    156
  7   7    4    256
  7   7    5    380
  7   7    6    528
  7   8    2     88
  7   8    3    174
  7   8    4    288
  7   8    5    430
  7   9    2     96
  7   9    3    192
  7   9    4    320
  7   9    5    480
  7  10    2    104
  7  10    3    210
  7  10    4    352
  7  10    5    530
  7  11    2    112
  7  11    3    228
  7  11    4    384
  7  11    5    580
  7  12    2    120
  7  12    3    246
  7  12    4    416
  7  13    2    128
  7  13    3    264
  7  13    4    448
  7  14    2    136
  7  14    3    282
  7  14    4    480
  7  15    2    144
  7  15    3    300
  7  15    4    512
  7  16    2    152
  7  16    3    318
  7  16    4    544
  7  17    2    160
  7  17    3    336
  7  17    4    576
  7  18    2    168
  7  18    3    354
  7  19    2    176
  7  19    3    372
  7  20    2    184
  7  20    3    390
  7  21    2    192
  7  21    3    408
  7  22    2    200
  7  22    3    426
  7  23    2    208
  7  23    3    444
  7  24    2    216
  7  24    3    462
  7  25    2    224
  7  25    3    480
  7  26    2    232
  7  26    3    498
  7  27    2    240
  7  27    3    516
  7  28    2    248
  7  28    3    534
  7  29    2    256
  7  29    3    552
  7  30    2    264
  7  30    3    570
  7  31    2    272
  7  31    3    588
  7  32    2    280
  7  33    2    288
  7  34    2    296
  7  35    2    304
  7  36    2    312
  7  37    2    320
  7  38    2    328
  7  39    2    336
  7  40    2    344
  7  41    2    352
  7  42    2    360
  7  43    2    368
  7  44    2    376
  7  45    2    384
  7  46    2    392
  7  47    2    400
  7  48    2    408
  7  49    2    416
  7  50    2    424
  7  51    2    432
  7  52    2    440
  7  53    2    448
  7  54    2    456
  7  55    2    464
  7  56    2    472
  7  57    2    480
  7  58    2    488
  7  59    2    496
  7  60    2    504
  7  61    2    512
  7  62    2    520
  7  63    2    528
  7  64    2    536
  7  65    2    544
  7  66    2    552
  7  67    2    560
  7  68    2    568
  7  69    2    576
  7  70    2    584
  7  71    2    592
  8   1    2     36
  8   1    3     54
  8   1    4     72
  8   1    5     90
  8   1    6    108
  8   1    7    126
  8   1    8    144
  8   1    9    162
  8   1   10    180
  8   1   11    198
  8   1   12    216
  8   1   13    234
  8   1   14    252
  8   1   15    270
  8   1   16    288
  8   1   17    306
  8   1   18    324
  8   1   19    342
  8   1   20    360
  8   1   21    378
  8   1   22    396
  8   1   23    414
  8   1   24    432
  8   1   25    450
  8   1   26    468
  8   1   27    486
  8   1   28    504
  8   1   29    522
  8   1   30    540
  8   1   31    558
  8   1   32    576
  8   1   33    594
  8   2    2     44
  8   2    3     72
  8   2    4    104
  8   2    5    140
  8   2    6    180
  8   2    7    224
  8   2    8    272
  8   2    9    324
  8   2   10    380
  8   2   11    440
  8   2   12    504
  8   2   13    572
  8   3    2     52
  8   3    3     90
  8   3    4    136
  8   3    5    190
  8   3    6    252
  8   3    7    322
  8   3    8    400
  8   3    9    486
  8   3   10    580
  8   4    2     60
  8   4    3    108
  8   4    4    168
  8   4    5    240
  8   4    6    324
  8   4    7    420
  8   4    8    528
  8   5    2     68
  8   5    3    126
  8   5    4    200
  8   5    5    290
  8   5    6    396
  8   5    7    518
  8   6    2     76
  8   6    3    144
  8   6    4    232
  8   6    5    340
  8   6    6    468
  8   7    2     84
  8   7    3    162
  8   7    4    264
  8   7    5    390
  8   7    6    540
  8   8    2     92
  8   8    3    180
  8   8    4    296
  8   8    5    440
  8   9    2    100
  8   9    3    198
  8   9    4    328
  8   9    5    490
  8  10    2    108
  8  10    3    216
  8  10    4    360
  8  10    5    540
  8  11    2    116
  8  11    3    234
  8  11    4    392
  8  11    5    590
  8  12    2    124
  8  12    3    252
  8  12    4    424
  8  13    2    132
  8  13    3    270
  8  13    4    456
  8  14    2    140
  8  14    3    288
  8  14    4    488
  8  15    2    148
  8  15    3    306
  8  15    4    520
  8  16    2    156
  8  16    3    324
  8  16    4    552
  8  17    2    164
  8  17    3    342
  8  17    4    584
  8  18    2    172
  8  18    3    360
  8  19    2    180
  8  19    3    378
  8  20    2    188
  8  20    3    396
  8  21    2    196
  8  21    3    414
  8  22    2    204
  8  22    3    432
  8  23    2    212
  8  23    3    450
  8  24    2    220
  8  24    3    468
  8  25    2    228
  8  25    3    486
  8  26    2    236
  8  26    3    504
  8  27    2    244
  8  27    3    522
  8  28    2    252
  8  28    3    540
  8  29    2    260
  8  29    3    558
  8  30    2    268
  8  30    3    576
  8  31    2    276
  8  31    3    594
  8  32    2    284
  8  33    2    292
  8  34    2    300
  8  35    2    308
  8  36    2    316
  8  37    2    324
  8  38    2    332
  8  39    2    340
  8  40    2    348
  8  41    2    356
  8  42    2    364
  8  43    2    372
  8  44    2    380
  8  45    2    388
  8  46    2    396
  8  47    2    404
  8  48    2    412
  8  49    2    420
  8  50    2    428
  8  51    2    436
  8  52    2    444
  8  53    2    452
  8  54    2    460
  8  55    2    468
  8  56    2    476
  8  57    2    484
